band,beak depth (mm),beak length (mm),species,year
315,8.8,9.7,fortis,1975
316,9.7,10.9,fortis,1975
320,8.9,10.1,fortis,1975
321,8.5,10.6,fortis,1975
323,8.2,9.6,fortis,1975
324,9.3,10.3,fortis,1975
326,9.1,10.5,fortis,1975
328,8.8,10.5,fortis,1975
329,9.4,10.9,fortis,1975
330,9.6,11.2,fortis,1975
340,8.5,9.4,fortis,1975
341,8.1,10.1,fortis,1975
342,8.0,9.6,fortis,1975
343,9.7,10.5,fortis,1975
344,8.2,9.9,fortis,1975
345,8.4,9.9,fortis,1975
346,7.9,9.6,fortis,1975
347,9.3,10.7,fortis,1975
348,10.5,11.8,fortis,1975
349,9.7,10.2,fortis,1975
350,9.6,10.9,fortis,1975
352,7.7,9.3,fortis,1975
354,9.8,11.6,fortis,1975
355,9.8,11.2,fortis,1975
356,8.5,10.1,fortis,1975
360,9.2,10.7,fortis,1975
366,10.1,11.0,fortis,1975
368,9.0,10.8,fortis,1975
369,9.0,10.2,fortis,1975
401,9.4,10.8,fortis,1975
402,8.8,10.4,fortis,1975
403,9.9,11.2,fortis,1975
405,9.9,11.4,fortis,1975
410,8.9,10.9,fortis,1975
411,9.4,10.4,fortis,1975
413,8.2,9.7,fortis,1975
414,8.2,10.2,fortis,1975
415,8.1,9.2,fortis,1975
416,8.4,10.1,fortis,1975
417,10.1,11.0,fortis,1975
418,8.6,10.3,fortis,1975
419,8.5,10.2,fortis,1975
420,9.7,11.0,fortis,1975
422,10.3,11.0,fortis,1975
423,8.6,10.1,fortis,1975
424,9.3,10.7,fortis,1975
425,8.9,10.7,fortis,1975
426,9.7,11.0,fortis,1975
427,10.2,12.0,fortis,1975
428,10.2,11.6,fortis,1975
450,8.5,9.9,fortis,1975
451,8.8,10.8,fortis,1975
452,8.9,10.5,fortis,1975
453,8.7,10.0,fortis,1975
454,9.3,9.6,fortis,1975
455,9.7,11.0,fortis,1975
456,9.6,10.2,fortis,1975
457,7.85,9.7,fortis,1975
458,9.6,11.1,fortis,1975
459,9.3,10.4,fortis,1975
461,9.8,11.1,fortis,1975
462,8.8,10.2,fortis,1975
463,9.1,10.3,fortis,1975
465,9.0,9.9,fortis,1975
466,10.4,11.0,fortis,1975
468,9.0,10.8,fortis,1975
473,9.5,10.5,fortis,1975
474,8.7,10.5,fortis,1975
475,9.6,11.2,fortis,1975
476,9.4,11.2,fortis,1975
477,9.5,11.7,fortis,1975
479,8.6,10.5,fortis,1975
501,9.9,10.5,fortis,1975
502,9.4,11.2,fortis,1975
503,9.1,10.0,fortis,1975
504,8.6,10.4,fortis,1975
505,9.3,10.8,fortis,1975
506,9.2,11.1,fortis,1975
507,8.8,10.3,fortis,1975
509,9.2,11.1,fortis,1975
510,8.3,9.8,fortis,1975
511,8.8,10.5,fortis,1975
512,9.4,11.0,fortis,1975
513,10.4,11.2,fortis,1975
514,8.5,9.8,fortis,1975
515,7.9,9.8,fortis,1975
516,7.9,9.8,fortis,1975
517,10.1,10.3,fortis,1975
518,9.8,11.3,fortis,1975
519,8.3,10.0,fortis,1975
520,9.4,11.1,fortis,1975
521,9.0,10.0,fortis,1975
522,8.4,10.3,fortis,1975
524,8.7,10.2,fortis,1975
526,9.2,10.4,fortis,1975
527,9.5,11.0,fortis,1975
528,10.1,11.5,fortis,1975
529,9.8,11.8,fortis,1975
560,8.5,10.2,fortis,1975
561,10.2,11.7,fortis,1975
563,8.6,10.1,fortis,1975
564,9.3,10.2,fortis,1975
565,8.7,9.8,fortis,1975
566,8.9,10.6,fortis,1975
567,8.4,10.0,fortis,1975
572,10.3,12.1,fortis,1975
574,9.9,11.1,fortis,1975
576,8.9,10.5,fortis,1975
578,9.1,10.0,fortis,1975
579,8.6,10.2,fortis,1975
601,7.8,9.7,fortis,1975
602,8.6,10.0,fortis,1975
603,9.5,10.7,fortis,1975
604,9.5,11.0,fortis,1975
605,10.2,10.9,fortis,1975
606,9.1,10.5,fortis,1975
607,9.7,10.9,fortis,1975
608,9.4,10.7,fortis,1975
609,10.5,11.9,fortis,1975
610,9.0,10.2,fortis,1975
611,9.8,10.5,fortis,1975
615,10.0,11.2,fortis,1975
616,9.6,10.7,fortis,1975
617,9.6,10.3,fortis,1975
618,9.9,11.6,fortis,1975
619,9.3,10.5,fortis,1975
620,9.6,10.9,fortis,1975
621,7.6,9.8,fortis,1975
622,9.2,10.9,fortis,1975
623,8.8,10.3,fortis,1975
624,10.1,11.7,fortis,1975
625,8.9,11.0,fortis,1975
626,9.5,9.8,fortis,1975
627,8.2,10.4,fortis,1975
628,9.7,10.8,fortis,1975
629,9.8,11.0,fortis,1975
670,9.3,10.6,fortis,1975
671,9.8,11.3,fortis,1975
672,8.8,10.1,fortis,1975
673,10.1,11.4,fortis,1975
674,10.5,11.8,fortis,1975
675,8.6,9.9,fortis,1975
676,9.7,11.0,fortis,1975
677,10.0,10.8,fortis,1975
678,9.7,11.3,fortis,1975
679,10.5,11.1,fortis,1975
680,10.4,11.0,fortis,1975
681,9.2,10.4,fortis,1975
682,8.1,9.1,fortis,1975
683,9.4,10.8,fortis,1975
684,8.9,10.6,fortis,1975
685,8.2,8.7,fortis,1975
686,9.3,10.7,fortis,1975
687,8.6,10.3,fortis,1975
688,9.0,10.5,fortis,1975
689,7.6,9.1,fortis,1975
701,8.7,9.5,fortis,1975
702,9.8,10.8,fortis,1975
703,9.4,10.6,fortis,1975
704,9.9,9.9,fortis,1975
705,10.1,11.5,fortis,1975
706,9.8,11.2,fortis,1975
707,7.9,9.7,fortis,1975
708,10.8,12.2,fortis,1975
709,7.9,9.2,fortis,1975
710,10.0,10.5,fortis,1975
711,8.4,10.5,fortis,1975
712,9.5,10.8,fortis,1975
713,8.8,10.7,fortis,1975
714,10.4,11.8,fortis,1975
715,8.1,9.1,fortis,1975
716,9.8,10.1,fortis,1975
717,8.2,10.0,fortis,1975
719,9.5,11.0,fortis,1975
720,10.5,12.2,fortis,1975
721,9.7,11.4,fortis,1975
723,9.6,10.9,fortis,1975
725,9.6,10.6,fortis,1975
726,7.9,9.3,fortis,1975
780,10.1,10.9,fortis,1975
781,9.3,10.6,fortis,1975
785,10.3,11.0,fortis,1975
786,7.9,9.0,fortis,1975
787,9.1,11.0,fortis,1975
788,8.9,10.4,fortis,1975
789,8.3,10.4,fortis,1975
790,9.4,9.6,fortis,1975
801,9.5,10.6,fortis,1975
802,8.5,10.1,fortis,1975
803,8.6,9.7,fortis,1975
804,8.5,9.6,fortis,1975
805,8.2,10.1,fortis,1975
807,7.9,9.9,fortis,1975
808,10.0,11.0,fortis,1975
809,9.4,10.9,fortis,1975
810,8.0,9.7,fortis,1975
811,8.6,10.0,fortis,1975
812,9.0,10.4,fortis,1975
813,9.9,11.6,fortis,1975
814,8.0,9.6,fortis,1975
815,9.6,10.8,fortis,1975
817,9.2,10.9,fortis,1975
818,9.0,10.2,fortis,1975
819,9.2,10.4,fortis,1975
820,9.5,11.0,fortis,1975
821,9.2,10.7,fortis,1975
822,9.7,11.1,fortis,1975
823,9.1,10.8,fortis,1975
824,9.4,10.9,fortis,1975
825,8.6,9.9,fortis,1975
826,9.8,11.8,fortis,1975
827,8.0,9.7,fortis,1975
828,10.4,11.9,fortis,1975
829,8.1,9.6,fortis,1975
830,9.9,10.9,fortis,1975
831,8.6,10.2,fortis,1975
891,8.0,9.9,fortis,1975
892,9.0,11.3,fortis,1975
893,9.7,10.9,fortis,1975
894,8.1,9.8,fortis,1975
895,8.8,10.3,fortis,1975
896,7.5,8.8,fortis,1975
897,10.2,11.6,fortis,1975
898,8.2,9.9,fortis,1975
899,8.6,9.9,fortis,1975
900,8.7,9.9,fortis,1975
902,8.6,10.4,fortis,1975
903,9.9,11.2,fortis,1975
904,9.5,10.8,fortis,1975
905,8.4,9.9,fortis,1975
906,8.7,9.9,fortis,1975
907,8.2,10.2,fortis,1975
908,9.2,10.4,fortis,1975
909,8.2,9.4,fortis,1975
910,9.2,10.2,fortis,1975
911,9.3,11.0,fortis,1975
912,8.9,10.6,fortis,1975
913,9.0,10.5,fortis,1975
914,9.1,10.4,fortis,1975
915,8.8,10.2,fortis,1975
917,8.8,10.2,fortis,1975
919,9.6,11.0,fortis,1975
921,10.2,11.1,fortis,1975
922,8.2,9.7,fortis,1975
923,8.9,10.5,fortis,1975
924,9.0,10.9,fortis,1975
925,8.8,10.7,fortis,1975
926,9.9,11.0,fortis,1975
927,9.3,10.9,fortis,1975
928,9.9,11.2,fortis,1975
929,9.5,11.5,fortis,1975
930,10.0,10.8,fortis,1975
931,8.9,10.2,fortis,1975
932,9.8,11.0,fortis,1975
933,9.9,10.9,fortis,1975
934,8.7,10.5,fortis,1975
936,9.2,10.8,fortis,1975
941,8.2,9.8,fortis,1975
942,7.9,9.7,fortis,1975
943,9.1,10.3,fortis,1975
944,8.3,10.3,fortis,1975
945,10.8,11.6,fortis,1975
951,9.9,10.9,fortis,1975
952,9.0,10.6,fortis,1975
954,9.3,11.5,fortis,1975
991,9.6,10.8,fortis,1975
1040,9.3,10.83,fortis,1975
1368,10.2,11.73,fortis,1975
1420,8.6,10.23,fortis,1975
1433,10.98,11.83,fortis,1975
1560,10.28,11.43,fortis,1975
1581,9.6,10.73,fortis,1975
1770,9.28,10.33,fortis,1975
1857,9.5,10.23,fortis,1975
1860,9.4,11.53,fortis,1975
1884,9.15,11.03,fortis,1975
2102,9.8,11.73,fortis,1975
2105,9.35,10.53,fortis,1975
2220,8.5,9.93,fortis,1975
2381,10.5,11.23,fortis,1975
2482,8.5,9.83,fortis,1975
2939,8.31,9.63,fortis,1975
2955,9.9,10.6,fortis,1975
2974,10.36,11.88,fortis,1975
3642,10.28,11.03,fortis,1975
8016,8.9,10.73,fortis,1975
8020,8.7,10.13,fortis,1975
20139,9.15,10.15,fortis,1975
20165,10.35,10.85,fortis,1975
20166,8.85,10.95,fortis,1975
20168,8.55,9.85,fortis,1975
20204,8.95,10.25,fortis,1975
20238,10.75,11.75,fortis,1975
20267,10.05,10.95,fortis,1975
20273,10.15,10.95,fortis,1975
20283,8.45,10.55,fortis,1975
20285,8.85,9.65,fortis,1975
20286,10.25,11.45,fortis,1975
20293,9.75,10.25,fortis,1975
20298,8.95,10.05,fortis,1975
302,8.4,13.9,scandens,1975
304,8.8,14.0,scandens,1975
306,8.4,12.9,scandens,1975
310,8.0,13.5,scandens,1975
317,7.9,12.9,scandens,1975
318,8.9,14.6,scandens,1975
319,8.6,13.0,scandens,1975
322,8.5,14.2,scandens,1975
325,8.9,14.0,scandens,1975
327,9.1,14.2,scandens,1975
351,8.6,13.1,scandens,1975
353,9.8,15.1,scandens,1975
357,8.2,13.5,scandens,1975
358,9.0,14.4,scandens,1975
359,9.7,14.9,scandens,1975
361,8.6,12.9,scandens,1975
362,8.2,13.0,scandens,1975
363,9.0,14.9,scandens,1975
364,8.4,14.0,scandens,1975
365,8.6,13.8,scandens,1975
367,8.9,13.0,scandens,1975
404,9.1,14.75,scandens,1975
406,8.3,13.7,scandens,1975
407,8.7,13.8,scandens,1975
408,9.6,14.0,scandens,1975
409,8.5,14.6,scandens,1975
412,9.1,15.2,scandens,1975
421,9.0,13.5,scandens,1975
429,9.2,15.1,scandens,1975
460,9.9,15.0,scandens,1975
464,8.6,12.8,scandens,1975
467,9.2,14.9,scandens,1975
469,8.4,15.3,scandens,1975
470,8.9,13.4,scandens,1975
471,8.5,14.2,scandens,1975
472,10.4,15.1,scandens,1975
478,9.6,15.1,scandens,1975
508,9.1,14.0,scandens,1975
523,9.3,13.6,scandens,1975
525,9.3,14.0,scandens,1975
562,8.8,14.0,scandens,1975
568,8.3,13.9,scandens,1975
569,8.8,14.0,scandens,1975
570,9.1,14.9,scandens,1975
571,10.1,15.6,scandens,1975
573,8.9,13.8,scandens,1975
575,9.2,14.4,scandens,1975
577,8.5,12.8,scandens,1975
612,10.2,14.2,scandens,1975
613,10.1,13.4,scandens,1975
614,9.2,14.0,scandens,1975
718,9.7,14.8,scandens,1975
722,9.1,14.2,scandens,1975
724,8.5,13.5,scandens,1975
727,8.2,13.4,scandens,1975
728,9.0,14.6,scandens,1975
729,9.3,13.5,scandens,1975
782,8.0,13.7,scandens,1975
783,9.1,13.9,scandens,1975
784,8.1,13.1,scandens,1975
806,8.3,13.4,scandens,1975
816,8.7,13.8,scandens,1975
890,8.8,13.6,scandens,1975
901,8.6,14.0,scandens,1975
916,8.7,13.5,scandens,1975
918,8.0,12.8,scandens,1975
920,8.8,14.0,scandens,1975
935,9.0,13.4,scandens,1975
953,9.1,14.9,scandens,1975
1014,9.74,15.54,scandens,1975
1642,9.1,14.63,scandens,1975
1748,9.8,14.73,scandens,1975
1841,10.4,15.73,scandens,1975
1842,8.3,14.83,scandens,1975
2084,9.44,15.94,scandens,1975
2397,9.04,15.14,scandens,1975
8110,9.0,14.23,scandens,1975
20122,9.05,14.15,scandens,1975
20151,9.65,14.35,scandens,1975
20188,9.45,14.95,scandens,1975
20210,8.65,13.95,scandens,1975
20223,9.45,14.05,scandens,1975
20225,9.45,14.55,scandens,1975
20252,9.05,14.05,scandens,1975
20255,8.75,14.45,scandens,1975
20266,9.45,15.05,scandens,1975
20279,8.35,13.25,scandens,1975
14613,7.0,9.1,fortis,1987
15487,7.12,9.14,fortis,1987
15187,7.21,9.24,fortis,1987
15284,7.3,9.2,fortis,1987
14983,7.32,8.83,fortis,1987
14913,7.41,9.14,fortis,1987
15726,7.42,9.04,fortis,1987
15821,7.43,10.56,fortis,1987
15484,7.45,9.7,fortis,1987
4968,7.5,9.25,fortis,1987
15695,7.5,9.5,fortis,1987
15272,7.51,9.34,fortis,1987
15256,7.51,9.64,fortis,1987
13907,7.64,9.04,fortis,1987
5578,7.65,9.8,fortis,1987
10376,7.68,9.28,fortis,1987
13377,7.7,9.5,fortis,1987
15225,7.8,10.8,fortis,1987
15914,7.81,9.24,fortis,1987
14760,7.81,10.24,fortis,1987
15779,7.86,9.74,fortis,1987
13901,7.9,9.2,fortis,1987
15277,7.9,9.95,fortis,1987
15285,7.92,9.34,fortis,1987
13194,7.92,9.35,fortis,1987
14967,7.92,10.1,fortis,1987
14800,7.93,9.96,fortis,1987
14612,7.95,9.27,fortis,1987
15154,7.95,9.4,fortis,1987
14123,7.96,9.68,fortis,1987
15368,7.97,10.19,fortis,1987
15873,8.0,10.0,fortis,1987
16027,8.0,10.25,fortis,1987
15353,8.0,11.3,fortis,1987
14265,8.02,9.83,fortis,1987
15014,8.02,11.04,fortis,1987
14969,8.03,10.16,fortis,1987
5627,8.03,10.74,fortis,1987
15973,8.06,10.19,fortis,1987
13468,8.09,9.46,fortis,1987
15214,8.1,9.5,fortis,1987
14978,8.1,9.7,fortis,1987
15909,8.1,10.0,fortis,1987
13996,8.1,10.05,fortis,1987
13543,8.1,10.3,fortis,1987
14634,8.1,10.5,fortis,1987
15804,8.11,9.94,fortis,1987
15493,8.11,10.04,fortis,1987
15363,8.11,10.24,fortis,1987
15286,8.2,9.2,fortis,1987
15019,8.2,9.3,fortis,1987
16112,8.21,10.04,fortis,1987
15270,8.21,10.34,fortis,1987
15874,8.21,10.34,fortis,1987
16007,8.22,10.04,fortis,1987
14860,8.23,9.86,fortis,1987
10313,8.24,9.73,fortis,1987
15490,8.25,9.45,fortis,1987
15106,8.25,10.0,fortis,1987
13539,8.27,9.78,fortis,1987
14912,8.28,9.64,fortis,1987
13244,8.3,9.8,fortis,1987
14822,8.3,10.0,fortis,1987
14909,8.3,10.0,fortis,1987
15944,8.3,10.8,fortis,1987
16170,8.31,9.64,fortis,1987
15477,8.31,10.14,fortis,1987
15111,8.31,10.24,fortis,1987
14686,8.31,10.74,fortis,1987
15915,8.31,10.74,fortis,1987
15759,8.31,11.14,fortis,1987
15850,8.31,11.24,fortis,1987
15977,8.32,9.84,fortis,1987
14632,8.33,9.86,fortis,1987
14982,8.33,9.96,fortis,1987
13306,8.34,10.57,fortis,1987
13351,8.35,10.0,fortis,1987
15288,8.35,10.95,fortis,1987
15079,8.36,9.89,fortis,1987
15402,8.36,9.99,fortis,1987
15248,8.4,9.1,fortis,1987
13881,8.4,9.8,fortis,1987
15879,8.4,9.85,fortis,1987
4830,8.4,10.0,fortis,1987
15679,8.4,10.0,fortis,1987
15806,8.4,10.0,fortis,1987
5887,8.4,10.18,fortis,1987
15845,8.4,10.4,fortis,1987
14890,8.4,10.9,fortis,1987
15875,8.41,10.04,fortis,1987
15381,8.41,10.14,fortis,1987
15382,8.41,10.24,fortis,1987
15453,8.41,10.54,fortis,1987
5555,8.42,9.04,fortis,1987
15127,8.42,9.24,fortis,1987
14628,8.43,10.06,fortis,1987
15379,8.43,10.26,fortis,1987
14939,8.45,10.2,fortis,1987
10100,8.45,10.93,fortis,1987
16172,8.47,10.64,fortis,1987
15188,8.47,10.74,fortis,1987
14611,8.5,9.4,fortis,1987
14025,8.5,9.55,fortis,1987
14970,8.5,9.8,fortis,1987
15970,8.5,9.83,fortis,1987
10760,8.5,10.0,fortis,1987
15706,8.5,10.0,fortis,1987
14762,8.5,10.3,fortis,1987
15829,8.5,10.6,fortis,1987
14743,8.5,11.5,fortis,1987
15933,8.51,10.24,fortis,1987
14836,8.51,10.5,fortis,1987
15940,8.51,10.84,fortis,1987
15995,8.52,9.94,fortis,1987
14704,8.53,10.36,fortis,1987
5685,8.55,9.8,fortis,1987
14833,8.56,10.09,fortis,1987
1536,8.6,9.8,fortis,1987
15163,8.6,9.9,fortis,1987
5556,8.6,10.0,fortis,1987
14902,8.6,10.0,fortis,1987
15342,8.6,10.0,fortis,1987
14894,8.6,10.1,fortis,1987
15761,8.6,11.3,fortis,1987
5628,8.6,12.0,fortis,1987
15497,8.61,10.14,fortis,1987
14932,8.61,10.34,fortis,1987
15374,8.61,10.34,fortis,1987
15175,8.61,10.54,fortis,1987
15724,8.61,10.54,fortis,1987
15680,8.61,10.94,fortis,1987
14827,8.61,11.04,fortis,1987
15296,8.61,11.14,fortis,1987
15711,8.61,11.14,fortis,1987
10066,8.61,11.24,fortis,1987
15322,8.61,12.14,fortis,1987
15262,8.62,9.94,fortis,1987
14840,8.62,9.95,fortis,1987
4229,8.62,10.05,fortis,1987
13195,8.62,10.35,fortis,1987
14829,8.63,10.86,fortis,1987
13994,8.64,10.18,fortis,1987
15464,8.65,9.45,fortis,1987
15865,8.66,10.19,fortis,1987
14831,8.66,10.84,fortis,1987
13269,8.7,9.4,fortis,1987
15184,8.7,9.5,fortis,1987
14096,8.7,9.8,fortis,1987
15245,8.7,9.85,fortis,1987
15143,8.7,10.0,fortis,1987
15712,8.7,10.1,fortis,1987
4715,8.7,10.4,fortis,1987
14832,8.7,10.45,fortis,1987
15757,8.7,10.57,fortis,1987
14694,8.7,10.8,fortis,1987
15388,8.7,10.9,fortis,1987
15224,8.7,11.4,fortis,1987
15018,8.71,9.64,fortis,1987
15981,8.71,10.04,fortis,1987
15228,8.71,10.24,fortis,1987
15663,8.71,10.44,fortis,1987
15983,8.71,10.54,fortis,1987
10198,8.71,10.64,fortis,1987
15657,8.71,10.84,fortis,1987
15990,8.71,10.94,fortis,1987
15123,8.71,11.14,fortis,1987
15855,8.71,11.14,fortis,1987
15005,8.71,11.29,fortis,1987
15617,8.71,11.79,fortis,1987
14880,8.72,9.84,fortis,1987
14742,8.72,11.15,fortis,1987
15080,8.73,9.76,fortis,1987
15273,8.73,10.06,fortis,1987
4859,8.73,10.87,fortis,1987
14767,8.73,11.86,fortis,1987
5602,8.74,10.83,fortis,1987
15978,8.76,10.39,fortis,1987
15246,8.76,10.64,fortis,1987
15264,8.77,9.7,fortis,1987
14867,8.77,10.09,fortis,1987
13687,8.77,10.67,fortis,1987
15306,8.77,10.95,fortis,1987
10347,8.79,9.96,fortis,1987
15420,8.8,9.7,fortis,1987
16016,8.8,9.97,fortis,1987
14042,8.8,10.1,fortis,1987
14797,8.8,10.37,fortis,1987
14761,8.8,10.9,fortis,1987
14858,8.8,10.9,fortis,1987
2749,8.8,11.1,fortis,1987
15244,8.8,11.15,fortis,1987
5872,8.8,11.8,fortis,1987
14680,8.81,10.14,fortis,1987
14763,8.81,10.19,fortis,1987
14892,8.81,10.24,fortis,1987
15176,8.81,10.24,fortis,1987
14795,8.81,10.54,fortis,1987
15040,8.81,10.54,fortis,1987
15733,8.81,10.54,fortis,1987
15367,8.81,10.74,fortis,1987
14535,8.81,11.24,fortis,1987
15268,8.81,11.24,fortis,1987
15883,8.82,10.05,fortis,1987
15220,8.82,10.24,fortis,1987
15430,8.82,10.94,fortis,1987
15404,8.86,10.59,fortis,1987
14841,8.87,9.9,fortis,1987
15313,8.87,10.04,fortis,1987
14868,8.87,10.35,fortis,1987
13385,8.87,11.2,fortis,1987
15301,8.88,11.8,fortis,1987
5626,8.89,11.1,fortis,1987
14928,8.9,10.0,fortis,1987
5965,8.9,10.1,fortis,1987
15182,8.9,10.1,fortis,1987
16162,8.9,10.13,fortis,1987
13582,8.9,10.2,fortis,1987
14811,8.9,10.33,fortis,1987
5669,8.9,10.4,fortis,1987
10703,8.9,10.4,fortis,1987
14684,8.9,10.7,fortis,1987
14809,8.9,10.7,fortis,1987
10548,8.9,10.9,fortis,1987
15387,8.9,10.9,fortis,1987
5721,8.9,11.1,fortis,1987
14808,8.9,11.6,fortis,1987
15223,8.9,11.6,fortis,1987
15795,8.9,11.8,fortis,1987
15274,8.91,10.44,fortis,1987
14664,8.91,10.54,fortis,1987
15854,8.91,10.64,fortis,1987
15941,8.91,10.74,fortis,1987
14258,8.91,10.76,fortis,1987
15852,8.91,10.79,fortis,1987
15132,8.91,10.84,fortis,1987
15659,8.91,11.04,fortis,1987
15431,8.91,11.29,fortis,1987
15378,8.91,11.84,fortis,1987
14749,8.92,10.04,fortis,1987
14533,8.92,11.1,fortis,1987
15348,8.92,11.2,fortis,1987
14636,8.93,10.76,fortis,1987
14671,8.93,10.76,fortis,1987
13575,8.93,11.0,fortis,1987
14685,8.93,11.46,fortis,1987
2639,8.95,10.3,fortis,1987
14478,8.95,10.9,fortis,1987
14681,8.96,9.94,fortis,1987
15630,8.96,10.24,fortis,1987
15229,8.96,10.99,fortis,1987
15337,8.97,10.47,fortis,1987
15332,8.97,10.7,fortis,1987
5330,8.97,12.21,fortis,1987
14403,8.98,10.35,fortis,1987
15232,8.98,10.52,fortis,1987
5554,9.0,10.0,fortis,1987
15054,9.0,10.3,fortis,1987
15157,9.0,10.6,fortis,1987
15488,9.0,10.75,fortis,1987
15241,9.0,10.8,fortis,1987
14915,9.0,11.0,fortis,1987
14788,9.0,12.0,fortis,1987
14846,9.01,10.04,fortis,1987
15631,9.01,10.24,fortis,1987
15715,9.01,10.24,fortis,1987
15496,9.01,10.34,fortis,1987
15758,9.01,10.34,fortis,1987
15791,9.01,10.64,fortis,1987
15311,9.01,11.24,fortis,1987
15684,9.01,11.54,fortis,1987
15785,9.01,11.54,fortis,1987
15465,9.02,10.74,fortis,1987
14712,9.02,11.04,fortis,1987
15230,9.03,10.1,fortis,1987
15318,9.03,10.76,fortis,1987
14356,9.04,10.04,fortis,1987
5389,9.04,10.27,fortis,1987
10232,9.04,10.87,fortis,1987
4936,9.05,10.0,fortis,1987
5587,9.05,10.35,fortis,1987
14741,9.06,11.04,fortis,1987
13486,9.07,9.98,fortis,1987
13579,9.07,10.03,fortis,1987
15822,9.07,10.49,fortis,1987
15412,9.07,10.5,fortis,1987
15153,9.07,10.57,fortis,1987
15055,9.07,10.8,fortis,1987
14669,9.07,11.34,fortis,1987
15863,9.07,11.69,fortis,1987
10102,9.08,10.98,fortis,1987
14883,9.08,11.51,fortis,1987
13522,9.09,9.66,fortis,1987
10685,9.09,10.46,fortis,1987
14872,9.1,9.7,fortis,1987
15333,9.1,10.5,fortis,1987
14765,9.1,10.6,fortis,1987
15389,9.1,10.83,fortis,1987
13932,9.1,10.9,fortis,1987
13365,9.1,11.3,fortis,1987
15066,9.1,11.4,fortis,1987
14723,9.1,12.0,fortis,1987
14659,9.11,10.24,fortis,1987
16111,9.11,10.24,fortis,1987
15011,9.11,10.34,fortis,1987
15047,9.11,10.35,fortis,1987
15781,9.11,10.89,fortis,1987
