species,offspring beak depth (mm),parent beak depth (mm)
fortis,8.42,8.8
fortis,9.25,10.55
fortis,10.12,10.675
fortis,9.31,9.95
fortis,9.99,9.55
fortis,8.59,8.825
fortis,8.74,9.7
fortis,8.79,9.850000000000001
fortis,9.6,9.8
fortis,9.52,9.55
fortis,8.93,9.274999999999999
fortis,10.23,10.325
fortis,9.35,9.15
fortis,9.35,9.35
fortis,9.09,9.149999999999999
fortis,9.04,9.65
fortis,9.75,10.575
fortis,10.5,9.975000000000001
fortis,9.09,9.55
fortis,9.05,9.2
fortis,9.54,9.925
fortis,9.3,9.2
fortis,9.06,9.3
fortis,8.7,8.775
fortis,9.32,9.325
fortis,8.4,9.175
fortis,8.67,9.325
fortis,8.6,8.975000000000001
fortis,9.53,9.7
fortis,9.77,9.5
fortis,9.65,10.225000000000001
fortis,9.43,10.025
fortis,8.35,8.2
fortis,8.26,8.2
fortis,8.6,9.05
fortis,9.57,9.600000000000001
fortis,9.14,9.600000000000001
fortis,10.79,10.15
fortis,8.91,9.875
fortis,9.93,10.485
fortis,10.7,11.485
fortis,9.3,10.985
fortis,9.93,9.7
fortis,9.51,9.65
fortis,9.44,9.35
fortis,10.05,10.05
fortis,10.13,10.100000000000001
fortis,9.24,9.9
fortis,8.21,8.95
fortis,8.9,9.3
fortis,9.34,9.95
fortis,8.77,9.45
fortis,9.4,9.5
fortis,8.82,8.45
fortis,8.83,8.8
fortis,8.6,8.525
fortis,9.5,9.375
fortis,10.2,10.2
fortis,8.09,7.625
fortis,9.07,8.375
fortis,9.29,9.25
fortis,9.1,9.4
fortis,10.19,10.55
fortis,9.25,8.9
fortis,8.98,8.8
fortis,9.02,9.0
fortis,8.6,8.575
fortis,8.25,8.575
fortis,8.7,9.600000000000001
fortis,9.9,9.375
fortis,9.65,9.600000000000001
fortis,9.45,9.95
fortis,9.38,9.6
fortis,10.4,10.2
fortis,9.96,9.850000000000001
fortis,9.96,9.850000000000001
fortis,9.46,9.625
fortis,8.26,9.025
fortis,10.05,10.375
fortis,8.92,10.25
fortis,9.5,9.3
fortis,9.43,9.5
fortis,8.97,9.55
fortis,8.44,8.55
fortis,8.92,9.05
fortis,10.3,9.9
fortis,8.4,9.8
fortis,9.37,9.75
fortis,9.91,10.25
fortis,10.0,9.1
fortis,9.95,10.3
fortis,8.84,8.9
fortis,9.82,9.95
fortis,9.5,9.5
fortis,10.29,9.774999999999999
fortis,8.4,9.425
fortis,8.31,7.75
fortis,9.29,7.550000000000001
fortis,8.86,9.1
fortis,9.4,9.6
fortis,9.62,9.575
fortis,8.62,8.95
fortis,8.3,9.649999999999999
fortis,9.8,9.65
fortis,8.48,9.65
fortis,9.61,9.525
fortis,9.5,9.85
fortis,9.37,9.05
fortis,8.74,9.3
fortis,9.31,8.899999999999999
fortis,9.5,9.45
fortis,9.49,10.0
fortis,9.74,9.85
fortis,9.2,9.25
fortis,9.24,10.1
fortis,9.7,9.125
fortis,9.64,9.65
fortis,9.2,9.100000000000001
fortis,7.5,8.05
fortis,7.5,7.4
fortis,8.7,8.85
fortis,8.31,9.075
fortis,9.0,9.0
fortis,9.0,9.0
fortis,9.74,9.7
fortis,9.31,8.7
fortis,10.5,9.45
fortis,9.3,9.7
fortis,8.12,8.35
fortis,9.34,8.85
fortis,9.72,9.7
fortis,9.0,9.45
fortis,9.65,10.3
fortis,10.0,10.45
fortis,10.1,9.45
fortis,8.0,8.5
fortis,9.07,8.3
fortis,9.33,9.225
fortis,8.11,9.75
fortis,9.36,9.149999999999999
fortis,9.74,9.55
fortis,9.9,9.0
fortis,9.23,9.274999999999999
fortis,9.7,9.35
fortis,8.2,8.95
fortis,9.35,9.875
fortis,9.49,8.45
fortis,9.34,8.600000000000001
fortis,8.87,9.7
fortis,9.03,8.55
fortis,9.07,9.05
fortis,9.43,9.600000000000001
fortis,8.2,8.65
fortis,9.19,9.2
fortis,9.0,8.95
fortis,9.2,9.6
fortis,9.06,9.15
fortis,9.81,9.399999999999999
fortis,8.89,8.95
fortis,9.4,9.95
fortis,10.45,10.55
fortis,9.64,9.7
fortis,9.03,8.850000000000001
fortis,8.71,8.8
fortis,8.33,9.05
fortis,8.2,8.2
fortis,7.83,8.1
fortis,7.14,7.25
fortis,8.91,8.3
fortis,9.18,9.15
fortis,8.8,8.600000000000001
fortis,9.9,9.5
fortis,7.73,8.05
fortis,9.25,9.425
fortis,8.7,9.3
fortis,9.5,9.8
fortis,9.3,9.3
fortis,9.05,9.85
fortis,10.18,9.5
fortis,8.85,8.65
fortis,9.24,9.825
fortis,9.15,9.0
fortis,9.98,10.45
fortis,8.77,9.1
fortis,9.8,9.55
fortis,8.65,9.05
fortis,10.0,10.0
fortis,8.81,9.350000000000001
fortis,8.01,8.375
fortis,7.9,8.3
fortis,9.41,8.8
fortis,10.18,10.100000000000001
fortis,9.55,9.5
fortis,9.08,9.75
fortis,8.4,10.100000000000001
fortis,9.75,9.575
fortis,8.9,9.425
fortis,9.07,9.65
fortis,9.35,8.725
fortis,8.9,9.025
fortis,8.19,8.5
fortis,8.65,8.95
fortis,9.19,9.3
fortis,8.9,8.85
fortis,9.28,8.95
fortis,10.58,9.8
fortis,9.4,8.65
fortis,8.91,9.100000000000001
fortis,9.93,9.399999999999999
fortis,10.0,8.475
fortis,9.37,9.35
fortis,7.4,7.95
fortis,9.0,9.350000000000001
fortis,8.8,8.575
fortis,9.18,9.05
fortis,8.3,8.175
fortis,10.08,9.850000000000001
fortis,7.9,7.85
fortis,10.4,10.1
fortis,9.65,9.350000000000001
fortis,8.8,8.850000000000001
fortis,8.65,8.75
fortis,9.7,9.625
fortis,9.23,9.25
fortis,9.43,9.55
fortis,9.93,10.325
fortis,9.55,9.675
fortis,9.28,9.15
fortis,8.85,9.0
fortis,8.9,9.649999999999999
fortis,8.75,8.6
fortis,8.63,8.8
fortis,9.43,9.95
fortis,8.28,8.4
fortis,9.23,9.35
fortis,10.4,10.3
fortis,9.8,9.975
fortis,9.77,9.975000000000001
fortis,8.97,8.65
fortis,8.37,8.725000000000001
fortis,7.7,8.2
fortis,7.9,7.8500000000000005
fortis,9.5,8.774999999999999
fortis,8.2,8.5
fortis,8.8,9.4
scandens,8.419,8.3318
scandens,9.2468,8.4035
scandens,8.1532,8.5317
scandens,8.0089,8.7202
scandens,8.2215,8.7089
scandens,8.3734,8.7541
scandens,8.5025,8.773
scandens,8.6392,8.8107
scandens,8.7684,8.7919
scandens,8.8139,8.8069
scandens,8.7911,8.6523
scandens,8.9051,8.6146
scandens,8.9203,8.6938
scandens,8.8747,8.7127
scandens,8.943,8.7466
scandens,9.0038,8.7504
scandens,8.981,8.7805
scandens,9.0949,8.7428
scandens,9.2696,8.7164
scandens,9.1633,8.8032
scandens,9.1785,8.8258
scandens,9.1937,8.856
scandens,9.2772,8.9012
scandens,9.0722,8.9125
scandens,8.9658,8.8635
scandens,8.9658,8.8258
scandens,8.5025,8.8522
scandens,8.4949,8.8974
scandens,8.4949,8.9427
scandens,8.5633,8.9879
scandens,8.6013,8.9615
scandens,8.6468,8.9238
scandens,8.1532,8.9351
scandens,8.3734,9.0143
scandens,8.662,9.0558
scandens,8.6924,9.0596
scandens,8.7456,8.9917
scandens,8.8367,8.905
scandens,8.8595,8.9314
scandens,8.9658,8.9465
scandens,8.9582,8.9879
scandens,8.8671,8.9804
scandens,8.8671,9.0219
scandens,8.943,9.052
scandens,9.0646,9.0407
scandens,9.1405,9.0407
scandens,9.2089,8.9955
scandens,9.2848,8.9992
scandens,9.3759,8.9992
scandens,9.4899,9.0747
scandens,9.4519,9.0747
scandens,8.1228,9.5385
scandens,8.2595,9.4781
scandens,8.3127,9.4517
scandens,8.4949,9.3537
scandens,8.6013,9.2707
scandens,8.4646,9.1199
scandens,8.5329,9.1689
scandens,8.7532,9.1425
scandens,8.8823,9.135
scandens,9.0342,9.1011
scandens,8.6392,9.1727
scandens,8.6772,9.2217
scandens,8.6316,9.2255
scandens,8.7532,9.2821
scandens,8.8291,9.3235
scandens,8.8975,9.3198
scandens,8.9734,9.3198
scandens,9.0494,9.3198
scandens,9.1253,9.3273
scandens,9.1253,9.3725
scandens,9.1253,9.3989
scandens,9.1785,9.4253
scandens,9.2848,9.4593
scandens,9.4595,9.4442
scandens,9.3608,9.4291
scandens,9.2089,9.2632
scandens,9.2544,9.2293
scandens,9.3684,9.1878
scandens,9.3684,9.1425
scandens,9.2316,9.1275
scandens,9.1709,9.1802
scandens,9.2316,9.1765
scandens,9.0342,9.2481
scandens,8.8899,9.2481
scandens,8.8291,9.1991
scandens,8.981,9.1689
scandens,8.8975,9.1765
scandens,10.4089,9.2406
scandens,10.1886,9.3198
scandens,9.7633,9.3235
scandens,9.7329,9.1991
scandens,9.6114,9.2971
scandens,9.5051,9.2443
scandens,9.5127,9.316
scandens,9.3684,9.2934
scandens,9.6266,9.3914
scandens,9.5354,9.3989
scandens,10.0215,9.5121
scandens,10.0215,9.6176
scandens,9.6266,9.5535
scandens,9.6038,9.4668
scandens,9.4063,9.3725
scandens,9.2316,9.3348
scandens,9.338,9.3763
scandens,9.262,9.3839
scandens,9.262,9.4216
scandens,9.4063,9.4065
scandens,9.4367,9.3348
scandens,9.0342,9.4442
scandens,8.943,9.4367
scandens,8.9203,9.5083
scandens,8.7835,9.448
scandens,8.7835,9.4781
scandens,9.057,9.595
scandens,8.9354,9.6101
scandens,8.8975,9.5686
scandens,8.8139,9.6365
scandens,8.8671,9.7119
scandens,9.0873,9.8213
scandens,9.2848,9.825
scandens,9.2392,9.7609
scandens,9.2924,9.6516
scandens,9.4063,9.5988
scandens,9.3152,9.546
scandens,9.4899,9.6516
scandens,9.5962,9.7572
scandens,9.6873,9.8854
scandens,9.5203,10.0023
scandens,9.6646,9.3914
